Emoji,Name,IsHate
🔥,fire,0
😂,face with tears of joy,0
⚖️,balance scale,0
❤️,red heart,0
👌,OK hand,0
👍,thumbs up,0
😅,grinning face with sweat,0
😑,expressionless face,0
😁,beaming face with smiling eyes,0
😡,enraged face,1
🙂,slightly smiling face,0
💯,hundred points,0
😮,face with open mouth,0
🌚,new moon face,0
✍️,writing hand,0
🇧🇩,Bangladesh,0
🌾,sheaf of rice,0
🤣,rolling on the floor laughing,0
🖖🏻,vulcan salute light skin tone,0
💥,collision,0
❤️‍🩹,mending heart,0
😜,winking face with tongue,0
⛵,sailboat,0
✊🏼,raised fist medium-light skin tone,0
💛,yellow heart,0
🤍,white heart,0
🙏,folded hands,0
🥹,face holding back tears,0
🥲,smiling face with tear,0
🥰,smiling face with hearts,0
😌,relieved face,0
😔,pensive face,0
🫡,saluting face,0
💪,flexed biceps,0
💞,revolving hearts,0
💝,heart with ribbon,0
🖤,black heart,0
😊,smiling face with smiling eyes,0
👏🏻,clapping hands light skin tone,0
🫶,heart hands,0
🌸,cherry blossom,0
✨,sparkles,0
💖,sparkling heart,0
📦,package,0
🌷,tulip,0
☝️,index pointing up,0
✊,raised fist,0
❤,red heart,0
😹,cat with tears of joy,0
🫣,face with peeking eye,0
😆,grinning squinting face,0
👻,ghost,0
😎,smiling face with sunglasses,0
🤔,thinking face,0
👀,eyes,0
🤝,handshake,0
🥴,woozy face,0
🧍‍♂️,man standing,0
😶,face without mouth,0
😬,grimacing face,0
🤭,face with hand over mouth,0
💩,pile of poo,1
❣️,heart exclamation,0
👄,mouth,0
👩‍🦳,woman white hair,0
❤️‍🔥,heart on fire,0
❌,cross mark,0
✔️,check mark,0
🙌,raising hands,0
😄,grinning face with smiling eyes,0
😐,neutral face,0
☠️,skull and crossbones,1
🤘🏻,sign of the horns light skin tone,0
😃,grinning face with big eyes,0
👑,crown,0
😒,unamused face,0
😵‍💫,face with spiral eyes,0
🙈,see-no-evil monkey,0
😀,grinning face,0
🔼,upwards button,0
🫠,melting face,0
🙄,face with rolling eyes,0
🙊,speak-no-evil monkey,0
🫦,biting lip,0
🍓,strawberry,0
🥶,cold face,0
🍌,banana,0
🤐,zipper-mouth face,0
🏴,black flag,0
🛰️,satellite,0
🌹,rose,0
🇮🇳,India,0
💬,speech balloon,0
🌿,herb,0
✅,check mark button,0
🤲,palms up together,0
💐,bouquet,0
💰,money bag,0
🏏,cricket game,0
😉,winking face,0
🖕,middle finger,1
🫂,people hugging,0
🇦🇷,Argentina,0
✌️,victory hand,0
🐞,lady beetle,0
🥸,disguised face,0
🇸🇩,Sudan,0
✊🏻,raised fist light skin tone,0
😭,loudly crying face,0
☹️,frowning face,0
🌻,sunflower,0
😢,crying face,0
🫀,anatomical heart,0
🥀,wilted flower,0
♥️,heart suit,0
😴,sleeping face,0
💟,heart decoration,0
💔,broken heart,0
💗,growing heart,0
🌺,hibiscus,0
🥺,pleading face,0
💙,blue heart,0
💚,green heart,0
🍀,four leaf clover,0
😮‍💨,face exhaling,0
🤘,sign of the horns,0
😥,sad but relieved face,0
💜,purple heart,0
🙌🏽,raising hands medium skin tone,0
💕,two hearts,0
🥱,yawning face,0
😍,smiling face with heart-eyes,0
🤩,star-struck,0
🫵,index pointing at the viewer,0
🤮,face vomiting,1
🧡,orange heart,0
🚩,triangular flag,0
🕊️,dove,0
🤏,pinching hand,0
🤧,sneezing face,0
🤦‍♂️,man facepalming,0
😇,smiling face with halo,0
🖐️,hand with fingers splayed,0
🗿,moai,0
🙅,person gesturing NO,0
🤓,nerd face,0
🗣️,speaking head,0
👌🏻,OK hand light skin tone,0
🤦🏼‍♀️,woman facepalming medium-light skin tone,0
🤠,cowboy hat face,0
⚡,high voltage,0
🧠,brain,0
🫶🏻,heart hands light skin tone,0
👊,oncoming fist,0
🤌,pinched fingers,0
🔪,kitchen knife,1
😏,smirking face,0
👏,clapping hands,0
👏🏼,clapping hands medium-light skin tone,0
🙏🏽,folded hands medium skin tone,0
👍🏼,thumbs up medium-light skin tone,0
🛶,canoe,0
☺️,smiling face,0
🤌🏻,pinched fingers light skin tone,0
🙌🏻,raising hands light skin tone,0
😓,downcast face with sweat,0
